"module name","license","repository"
"@adobe/css-tools@4.5.0","MIT","https://github.com/adobe/css-tools"
"@alloc/quick-lru@5.2.0","MIT","https://github.com/sindresorhus/quick-lru"
"@asamuzakjp/css-color@5.1.11","MIT","https://github.com/asamuzaK/cssColor"
"@asamuzakjp/dom-selector@7.1.1","MIT","https://github.com/asamuzaK/domSelector"
"@asamuzakjp/generational-cache@1.0.1","MIT","https://github.com/asamuzaK/generationalCache"
"@asamuzakjp/nwsapi@2.3.9","MIT","https://github.com/dperini/nwsapi"
"@axe-core/playwright@4.13.0","MPL-2.0","https://github.com/dequelabs/axe-core-npm"
"@babel/code-frame@7.29.7","MIT","https://github.com/babel/babel"
"@babel/compat-data@7.29.7","MIT","https://github.com/babel/babel"
"@babel/core@7.29.7","MIT","https://github.com/babel/babel"
"@babel/generator@7.29.7","MIT","https://github.com/babel/babel"
"@babel/helper-compilation-targets@7.29.7","MIT","https://github.com/babel/babel"
"@babel/helper-globals@7.29.7","MIT","https://github.com/babel/babel"
"@babel/helper-module-imports@7.29.7","MIT","https://github.com/babel/babel"
"@babel/helper-module-transforms@7.29.7","MIT","https://github.com/babel/babel"
"@babel/helper-string-parser@7.29.7","MIT","https://github.com/babel/babel"
"@babel/helper-validator-identifier@7.29.7","MIT","https://github.com/babel/babel"
"@babel/helper-validator-option@7.29.7","MIT","https://github.com/babel/babel"
"@babel/helpers@7.29.7","MIT","https://github.com/babel/babel"
"@babel/parser@7.29.7","MIT","https://github.com/babel/babel"
"@babel/runtime@7.29.7","MIT","https://github.com/babel/babel"
"@babel/template@7.29.7","MIT","https://github.com/babel/babel"
"@babel/traverse@7.29.7","MIT","https://github.com/babel/babel"
"@babel/types@7.29.7","MIT","https://github.com/babel/babel"
"@bcoe/v8-coverage@1.0.2","MIT","https://github.com/bcoe/v8-coverage"
"@bramus/specificity@2.4.2","MIT","https://github.com/bramus/specificity"
"@csstools/color-helpers@6.1.1","MIT-0","https://github.com/csstools/postcss-plugins"
